configuration,model,original_accuracy,configuration_label,current_accuracy,current_standard_deviation,difference_current_minus_original
A,Naive baseline,0.919,With first- and second-period grades,0.9189873417721518,0.022994812815930327,-1.2658227848239001e-05
A,Decision Tree,0.907,With first- and second-period grades,0.8886075949367088,0.042362532989067093,-0.018392405063291206
A,Random Forest,0.912,With first- and second-period grades,0.9139240506329115,0.024348587419837146,0.001924050632911456
B,Naive baseline,0.838,With first-period grade only,0.8379746835443036,0.03151873315946513,-2.531645569636698e-05
B,Decision Tree,0.831,With first-period grade only,0.7924050632911392,0.01919715302291531,-0.038594936708860716
B,Random Forest,0.83,With first-period grade only,0.820253164556962,0.03276501039378427,-0.009746835443038004
C,Naive baseline,0.671,Without first- or second-period grades,0.6708860759493671,0.0,-0.00011392405063292976
C,Decision Tree,0.653,Without first- or second-period grades,0.6177215189873417,0.0729360014728503,-0.03527848101265829
C,Random Forest,0.705,Without first- or second-period grades,0.6835443037974683,0.029686175695085,-0.021455696202531627
