configuration,configuration_label,encoded_feature,coefficient,absolute_coefficient,direction
A,With first- and second-period grades,numeric__Medu,0.0032232625435430467,0.0032232625435430467,higher predicted risk
C,Without first- or second-period grades,categorical__Mjob_teacher,0.7043832401152852,0.7043832401152852,higher predicted risk
C,Without first- or second-period grades,numeric__failures,0.6614360279915329,0.6614360279915329,higher predicted risk
C,Without first- or second-period grades,numeric__goout,0.5533998369715086,0.5533998369715086,higher predicted risk
C,Without first- or second-period grades,categorical__schoolsup_no,-0.4829688798349267,0.4829688798349267,lower predicted risk
C,Without first- or second-period grades,categorical__schoolsup_yes,0.48036609813252423,0.48036609813252423,higher predicted risk
C,Without first- or second-period grades,categorical__Mjob_services,-0.4622292747513478,0.4622292747513478,lower predicted risk
C,Without first- or second-period grades,categorical__Fjob_teacher,-0.4601616857806393,0.4601616857806393,lower predicted risk
C,Without first- or second-period grades,categorical__Mjob_health,-0.41887775806421235,0.41887775806421235,lower predicted risk
C,Without first- or second-period grades,numeric__age,0.3500238977984072,0.3500238977984072,higher predicted risk
C,Without first- or second-period grades,categorical__reason_course,0.343740302096527,0.343740302096527,higher predicted risk
C,Without first- or second-period grades,categorical__famsup_no,-0.2913221817093158,0.2913221817093158,lower predicted risk
C,Without first- or second-period grades,categorical__famsup_yes,0.2887194000069127,0.2887194000069127,higher predicted risk
C,Without first- or second-period grades,numeric__Walc,-0.2843195160280529,0.2843195160280529,lower predicted risk
C,Without first- or second-period grades,categorical__Mjob_other,0.26528950225176073,0.26528950225176073,higher predicted risk
C,Without first- or second-period grades,categorical__sex_M,-0.26297297187183455,0.26297297187183455,lower predicted risk
C,Without first- or second-period grades,categorical__sex_F,0.2603701901694329,0.2603701901694329,higher predicted risk
C,Without first- or second-period grades,categorical__Fjob_health,0.25796774881573564,0.25796774881573564,higher predicted risk
C,Without first- or second-period grades,categorical__higher_yes,-0.25624989665393416,0.25624989665393416,lower predicted risk
C,Without first- or second-period grades,categorical__higher_no,0.2536471149515457,0.2536471149515457,higher predicted risk
C,Without first- or second-period grades,numeric__health,0.2092978893516723,0.2092978893516723,higher predicted risk
C,Without first- or second-period grades,categorical__Pstatus_A,-0.2066411933248454,0.2066411933248454,lower predicted risk
C,Without first- or second-period grades,categorical__Pstatus_T,0.2040384116224511,0.2040384116224511,higher predicted risk
C,Without first- or second-period grades,numeric__studytime,-0.2036040804801956,0.2036040804801956,lower predicted risk
C,Without first- or second-period grades,categorical__reason_other,-0.19705811800230594,0.19705811800230594,lower predicted risk
C,Without first- or second-period grades,categorical__Fjob_services,0.19551132945404853,0.19551132945404853,higher predicted risk
C,Without first- or second-period grades,categorical__romantic_no,-0.1731844985916385,0.1731844985916385,lower predicted risk
C,Without first- or second-period grades,categorical__internet_yes,-0.17309353523480894,0.17309353523480894,lower predicted risk
C,Without first- or second-period grades,categorical__romantic_yes,0.17058171688923873,0.17058171688923873,higher predicted risk
C,Without first- or second-period grades,categorical__internet_no,0.17049075353241303,0.17049075353241303,higher predicted risk
C,Without first- or second-period grades,numeric__famrel,-0.15969997998381294,0.15969997998381294,lower predicted risk
C,Without first- or second-period grades,categorical__school_MS,-0.15834323710870735,0.15834323710870735,lower predicted risk
C,Without first- or second-period grades,categorical__school_GP,0.155740455406312,0.155740455406312,higher predicted risk
C,Without first- or second-period grades,categorical__reason_reputation,-0.14752881884776115,0.14752881884776115,lower predicted risk
C,Without first- or second-period grades,categorical__nursery_no,-0.1421568502668249,0.1421568502668249,lower predicted risk
